as_of,assumed_opponents,assumed_crowd_concentration,contest_share_given_actual_results,baseline_share_given_actual_results
2019-09-10,10000,2.5,0.0,0.0
2019-09-10,100,5.0,3.3438107498253277e-06,3.3438107498253277e-06
2019-09-10,1000,5.0,4.3637633888409586e-49,4.3637633888409586e-49
2019-09-10,10000,5.0,0.0,0.0
2019-09-17,100,1.0,0.01589551697506095,0.001111066977323714
2019-09-17,1000,1.0,5.215341191733671e-16,3.3775005455202123e-26
2019-09-17,10000,1.0,2.4678888379870503e-142,1.5834273721884675e-242
2019-09-17,100,2.5,0.0012577497149262908,1.444972248065497e-05
2019-09-17,1000,2.5,3.0296874076989544e-25,6.1525066156306186e-43
2019-09-17,10000,2.5,1.5347896327423564e-232,0.0
2019-09-17,100,5.0,0.00303941744429724,2.4583685893515156e-05
2019-09-17,1000,5.0,3.1067898797347492e-21,6.809940586354639e-40
2019-09-17,10000,5.0,3.0794374309717654e-192,0.0
2019-09-24,100,1.0,1.2940847040715368e-166,9.485743935020241e-13
2019-09-24,1000,1.0,0.0,1.8131424494063226e-112
2019-09-24,10000,1.0,0.0,0.0
2019-09-24,100,2.5,1.3493081717833067e-217,5.478956331434128e-13
2019-09-24,1000,2.5,0.0,2.047369852585044e-114
2019-09-24,10000,2.5,0.0,0.0
2019-09-24,100,5.0,9.23751596297e-312,2.7019344850941027e-14
2019-09-24,1000,5.0,0.0,7.709051195416174e-127
2019-09-24,10000,5.0,0.0,0.0
2019-10-01,100,1.0,3.6148491981443193e-10,6.327733550845863e-28
2019-10-01,1000,1.0,1.7389621011201908e-87,6.28473145613517e-262
2019-10-01,10000,1.0,0.0,0.0
2019-10-01,100,2.5,1.6593517306791212e-10,4.264337286523324e-33
2019-10-01,1000,2.5,3.287939337357771e-90,1.45655518013e-312
2019-10-01,10000,2.5,0.0,0.0
2019-10-01,100,5.0,6.765188279313634e-09,2.2714644396846815e-33
2019-10-01,1000,5.0,5.352447875069785e-74,1.6145815195e-314
2019-10-01,10000,5.0,0.0,0.0
2019-10-15,100,1.0,3.1751225958923728e-40,3.1751225958923728e-40
2019-10-15,1000,1.0,0.0,0.0
2019-10-15,10000,1.0,0.0,0.0
2019-10-15,100,2.5,3.9409465894192316e-45,3.9409465894192316e-45
2019-10-15,1000,2.5,0.0,0.0
2019-10-15,10000,2.5,0.0,0.0
2019-10-15,100,5.0,2.9785539946296595e-45,2.9785539946296595e-45
2019-10-15,1000,5.0,0.0,0.0
2019-10-15,10000,5.0,0.0,0.0
2019-10-22,100,1.0,5.2144903141407133e-11,1.1576732960208229e-29
2019-10-22,1000,1.0,1.1500076108207378e-95,3.701606343113736e-279
2019-10-22,10000,1.0,0.0,0.0
2019-10-22,100,2.5,2.9754306995515382e-08,7.290634177751478e-26
2019-10-22,1000,2.5,1.2790049725023205e-68,4.8146037009224153e-241
2019-10-22,10000,2.5,0.0,0.0
2019-10-22,100,5.0,1.4575070475581661e-05,2.6480567791222374e-22
2019-10-22,1000,5.0,1.9378399228159358e-42,4.361142200294769e-205
2019-10-22,10000,5.0,0.0,0.0
2019-10-29,100,1.0,3.1176375672027235e-13,9.561386482034954e-37
2019-10-29,1000,1.0,5.843501007538742e-117,0.0
2019-10-29,10000,1.0,0.0,0.0
2019-10-29,100,2.5,1.128663571418412e-15,7.750121035787383e-48
2019-10-29,1000,2.5,2.3892846888854524e-140,0.0
2019-10-29,10000,2.5,0.0,0.0
