team,att,def
Székely Land,0.019578980731078277,0.7970479414285565
Sápmi,-0.31012507930023764,0.8608514673264767
São Tomé and Príncipe,-0.26219854613073335,0.5242863074740873
Tahiti,-0.9421313219170395,0.7560529489201793
Taiwan,-0.2811161033774003,0.6501504036586643
Tajikistan,0.07803844151450179,-0.4384733642250773
Tamil Eelam,-0.9574305062931485,0.6431475293838322
Tanzania,-0.11738871530056327,-0.6918824094246285
Thailand,0.3530598686372422,-0.2999942844915371
Tibet,-0.6700965423668059,1.960928311532551
Ticino,-1.838205974021267,2.7844610426530947
Timor-Leste,-0.9739243278060195,1.0911349774281724
Togo,0.16977010933461428,-0.5423437268890813
Tonga,-1.7693629046682002,2.609797017992612
Trinidad and Tobago,0.1643545668767526,-0.03495896497215978
Tunisia,0.6107832461633824,-0.7841623334559067
Turkey,1.3352501938254069,-0.8434403790506122
Turkmenistan,-0.01759232755196366,0.021101820879841027
Turks and Caicos Islands,-1.57376228715568,1.625536949936417
Tuvalu,-1.528759047328491,2.229906083431648
Two Sicilies,-1.4676041577852923,1.4886502270046604
Uganda,0.4291764701230703,-0.5432434946348538
Ukraine,1.041348942950967,-0.7590929128106578
United Arab Emirates,0.6929941468946761,-0.6962983625361079
United Koreans in Japan,-1.0551386209657674,0.0024889307449483256
United States,1.0678928540125026,-0.9326494593243346
United States Virgin Islands,-1.5042394011378564,1.3124533523944946
Uruguay,0.9908151481896721,-1.5427362539290894
Uzbekistan,0.6860571575808647,-1.1903234910086102
Vanuatu,-0.8098372624283389,1.1700372709953457
Vatican City,-1.178492132650467,0.9791487270476291
Venezuela,0.9792326618449183,-0.7626977865782611
Vietnam,0.25722672458372725,-0.24194564311594635
Wales,0.8720526898119354,-0.8399498160778947
West Papua,-1.5087656252656847,0.8305752800142545
Western Armenia,-0.08098996071900486,0.236439443729374
Western Isles,-0.42448184256850574,1.021839711372035
Yemen,0.24004523819802398,0.13419505010722063
Ynys Môn,-0.3953556878591758,-0.19292938793935177
Yorkshire,0.005376404465124829,0.23809892641005184
Yoruba Nation,-1.4700035650777556,1.2715893075674922
Zambia,0.4085352799094368,-0.46512776125405486
Zanzibar,0.2592202228566582,-1.2255842608978391
Zimbabwe,0.24717432272654266,-0.5399632603147545
Åland Islands,-1.5230574274372677,1.1668172494140636
