strategy,season,matchday,points,baseline_points,changes,expected_cost,added_draws,games,better,equal,worse
baseline,2021,15,6,6,0,0.0,0.0,9,False,True,False
baseline,2021,16,8,8,0,0.0,0.0,9,False,True,False
baseline,2021,17,12,12,0,0.0,0.0,9,False,True,False
baseline,2021,18,9,9,0,0.0,0.0,9,False,True,False
baseline,2021,19,14,14,0,0.0,0.0,9,False,True,False
baseline,2021,20,11,11,0,0.0,0.0,9,False,True,False
baseline,2021,21,10,10,0,0.0,0.0,9,False,True,False
baseline,2021,22,13,13,0,0.0,0.0,9,False,True,False
baseline,2021,23,17,17,0,0.0,0.0,9,False,True,False
baseline,2021,24,15,15,0,0.0,0.0,9,False,True,False
baseline,2021,25,15,15,0,0.0,0.0,9,False,True,False
baseline,2021,26,12,12,0,0.0,0.0,9,False,True,False
baseline,2021,27,11,11,0,0.0,0.0,9,False,True,False
baseline,2021,28,8,8,0,0.0,0.0,9,False,True,False
baseline,2021,29,13,13,0,0.0,0.0,9,False,True,False
baseline,2021,30,11,11,0,0.0,0.0,9,False,True,False
baseline,2021,31,10,10,0,0.0,0.0,9,False,True,False
baseline,2021,32,4,4,0,0.0,0.0,9,False,True,False
baseline,2021,33,10,10,0,0.0,0.0,9,False,True,False
baseline,2021,34,14,14,0,0.0,0.0,9,False,True,False
baseline,2022,1,16,16,0,0.0,0.0,9,False,True,False
baseline,2022,2,9,9,0,0.0,0.0,9,False,True,False
baseline,2022,3,9,9,0,0.0,0.0,9,False,True,False
baseline,2022,4,15,15,0,0.0,0.0,9,False,True,False
baseline,2022,5,5,5,0,0.0,0.0,9,False,True,False
baseline,2022,6,6,6,0,0.0,0.0,9,False,True,False
baseline,2022,7,4,4,0,0.0,0.0,9,False,True,False
baseline,2022,8,15,15,0,0.0,0.0,9,False,True,False
baseline,2022,9,4,4,0,0.0,0.0,9,False,True,False
baseline,2022,10,11,11,0,0.0,0.0,9,False,True,False
baseline,2022,11,11,11,0,0.0,0.0,9,False,True,False
baseline,2022,12,23,23,0,0.0,0.0,9,False,True,False
baseline,2022,13,20,20,0,0.0,0.0,9,False,True,False
baseline,2022,14,14,14,0,0.0,0.0,9,False,True,False
baseline,2022,15,12,12,0,0.0,0.0,9,False,True,False
baseline,2022,16,15,15,0,0.0,0.0,9,False,True,False
baseline,2022,17,12,12,0,0.0,0.0,9,False,True,False
baseline,2022,18,8,8,0,0.0,0.0,9,False,True,False
baseline,2022,19,9,9,0,0.0,0.0,9,False,True,False
baseline,2022,20,14,14,0,0.0,0.0,9,False,True,False
baseline,2022,21,10,10,0,0.0,0.0,9,False,True,False
baseline,2022,22,15,15,0,0.0,0.0,9,False,True,False
baseline,2022,23,15,15,0,0.0,0.0,9,False,True,False
baseline,2022,24,11,11,0,0.0,0.0,9,False,True,False
baseline,2022,25,6,6,0,0.0,0.0,9,False,True,False
baseline,2022,26,6,6,0,0.0,0.0,9,False,True,False
baseline,2022,27,21,21,0,0.0,0.0,9,False,True,False
baseline,2022,28,8,8,0,0.0,0.0,9,False,True,False
baseline,2022,29,8,8,0,0.0,0.0,9,False,True,False
baseline,2022,30,15,15,0,0.0,0.0,9,False,True,False
baseline,2022,31,11,11,0,0.0,0.0,9,False,True,False
baseline,2022,32,19,19,0,0.0,0.0,9,False,True,False
baseline,2022,33,8,8,0,0.0,0.0,9,False,True,False
baseline,2022,34,16,16,0,0.0,0.0,9,False,True,False
baseline,2023,1,16,16,0,0.0,0.0,9,False,True,False
baseline,2023,2,14,14,0,0.0,0.0,9,False,True,False
baseline,2023,3,12,12,0,0.0,0.0,9,False,True,False
baseline,2023,4,10,10,0,0.0,0.0,9,False,True,False
baseline,2023,5,16,16,0,0.0,0.0,9,False,True,False
baseline,2023,6,10,10,0,0.0,0.0,9,False,True,False
baseline,2023,7,13,13,0,0.0,0.0,9,False,True,False
baseline,2023,8,17,17,0,0.0,0.0,9,False,True,False
baseline,2023,9,12,12,0,0.0,0.0,9,False,True,False
baseline,2023,10,5,5,0,0.0,0.0,9,False,True,False
baseline,2023,11,12,12,0,0.0,0.0,9,False,True,False
baseline,2023,12,10,10,0,0.0,0.0,9,False,True,False
baseline,2023,13,12,12,0,0.0,0.0,9,False,True,False
baseline,2023,14,12,12,0,0.0,0.0,9,False,True,False
baseline,2023,15,14,14,0,0.0,0.0,9,False,True,False
baseline,2023,16,14,14,0,0.0,0.0,9,False,True,False
baseline,2023,17,9,9,0,0.0,0.0,9,False,True,False
baseline,2023,18,9,9,0,0.0,0.0,9,False,True,False
baseline,2023,19,12,12,0,0.0,0.0,9,False,True,False
baseline,2023,20,12,12,0,0.0,0.0,9,False,True,False
baseline,2023,21,8,8,0,0.0,0.0,9,False,True,False
baseline,2023,22,13,13,0,0.0,0.0,9,False,True,False
