policy,form,book_weight,season,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
season_180_630,legacy,1.0,2011,306,2.975155135266558,0.9982449143709354,0.5954595355457385,389,34,11.441176470588236,19,2,0,0,0
season_180_630,legacy,1.0,2012,306,3.0156022400796294,0.9892749203902308,0.5890123377315373,409,34,12.029411764705882,20,4,1,0,0
season_180_630,legacy,1.0,2013,306,3.0688296049883403,0.9413493728779518,0.5563140213289478,418,34,12.294117647058824,23,3,1,1,0
season_180_630,legacy,1.0,2014,306,2.959110181758659,1.0018693789076831,0.59854510379583,421,34,12.382352941176471,20,5,2,0,0
season_180_630,legacy,1.0,2015,306,2.962344775127479,0.9765623212585306,0.5807441494101531,395,34,11.617647058823529,19,3,0,0,0
season_180_630,legacy,1.0,2016,306,2.9712934958004666,0.9959530239959442,0.5975189531288768,406,34,11.941176470588236,20,2,2,0,0
season_180_630,legacy,1.0,2017,306,2.915080757681334,0.995887086216629,0.5952808362730977,413,34,12.147058823529411,21,4,1,0,0
season_180_630,legacy,1.0,2018,306,3.122128577467359,0.9637468827443155,0.5716778227340811,402,34,11.823529411764707,18,4,0,0,0
season_180_630,legacy,1.0,2019,306,3.118534152110726,0.969245538977398,0.576836668576258,391,34,11.5,20,2,1,0,0
season_180_630,legacy,1.0,2020,306,2.9633410171068926,0.9887864161052768,0.5880165731550537,393,34,11.558823529411764,19,4,0,0,0
season_180_630,legacy,1.0,2021,306,3.031371767786251,0.9877441704001,0.5867743349442432,380,34,11.176470588235293,17,0,0,0,0
season_180_630,legacy,1.0,2022,306,3.1192532119725933,0.9959418771351647,0.5944976890319831,395,34,11.617647058823529,23,4,2,1,0
season_180_630,legacy,1.0,2023,306,3.0372990385140084,0.9466511453818443,0.5597776215189513,428,34,12.588235294117647,21,3,1,0,0
season_180_630,legacy,1.0,2024,306,3.0805179967870338,0.9900288585781899,0.5912994385243137,413,34,12.147058823529411,23,5,2,1,0
season_180_630,legacy,1.0,2025,306,3.0761782366005415,0.952572905036825,0.5625893349532604,432,34,12.705882352941176,21,4,3,0,0
season_180_630,none,0.0,2011,306,2.9855741769070367,1.0064187734167984,0.600772646437517,392,34,11.529411764705882,19,2,0,0,0
season_180_630,none,0.0,2012,306,3.012371480580272,0.9865352230287024,0.5874326231309752,419,34,12.323529411764707,20,3,1,0,0
season_180_630,none,0.0,2013,306,3.076942756453101,0.952082402728073,0.5628868550686699,412,34,12.117647058823529,23,3,2,1,0
season_180_630,none,0.0,2014,306,2.9850171612547562,1.0274655990581911,0.6129377376346676,382,34,11.235294117647058,18,2,0,0,0
season_180_630,none,0.0,2015,306,2.9757538827286747,0.9919577673538008,0.5910204975409832,389,34,11.441176470588236,18,2,0,0,0
season_180_630,none,0.0,2016,306,2.9756437778868063,0.9987826285731864,0.5995673112729565,400,34,11.764705882352942,24,4,3,1,1
season_180_630,none,0.0,2017,306,2.9362704157592465,1.0177687189278941,0.6082905356631709,383,34,11.264705882352942,18,2,0,0,0
season_180_630,none,0.0,2018,306,3.1440183223450378,0.9859990106973596,0.5861391275863208,392,34,11.529411764705882,18,2,0,0,0
season_180_630,none,0.0,2019,306,3.149379887514299,0.9982484520294809,0.595747377869363,394,34,11.588235294117647,22,5,2,1,0
season_180_630,none,0.0,2020,306,2.9851874422345355,1.0084734898378307,0.6018977327306648,391,34,11.5,18,1,0,0,0
season_180_630,none,0.0,2021,306,3.0485197392890115,1.0046271842378267,0.5986044725871416,388,34,11.411764705882353,22,1,1,1,0
season_180_630,none,0.0,2022,306,3.1230796337183993,1.0012273467843926,0.5986481717101325,402,34,11.823529411764707,23,3,2,1,0
season_180_630,none,0.0,2023,306,3.0710583250427215,0.9811564127467671,0.5861528595547407,390,34,11.470588235294118,21,3,2,0,0
season_180_630,none,0.0,2024,306,3.1128793148804705,1.02299930943169,0.611567539981812,375,34,11.029411764705882,23,5,1,1,0
season_180_630,none,0.0,2025,306,3.1011386652598363,0.9784999939299484,0.5784652805924049,418,34,12.294117647058824,25,3,2,1,1
season_180_630,none,0.5,2011,306,2.9792966077421594,1.000141204251921,0.5967897268418548,396,34,11.647058823529411,18,3,0,0,0
season_180_630,none,0.5,2012,306,3.0080079327749054,0.9821716752233357,0.5839274643425916,448,34,13.176470588235293,21,3,2,0,0
