policy,form,book_weight,games,log_loss,outcome_log_loss,brier_score,points,rounds,mean,maximum,at_least_18,at_least_20,at_least_22,at_least_24
fixed_90,residual_010,0.0,4590,3.1101312523713482,1.021085743400063,0.607857646457656,5974,510,11.713725490196078,26,41,14,5,2
fixed_90,residual_010,0.5,4590,3.08060619178798,0.9915606828166951,0.5907705455684205,6096,510,11.952941176470588,26,46,20,6,3
fixed_90,residual_010,1.0,4590,3.068524399180423,0.979478890209138,0.5828964050401211,6140,510,12.03921568627451,23,43,20,6,0
fixed_90,residual_020,0.0,4590,3.11745613704236,1.0260031908626077,0.6107010594619411,5978,510,11.72156862745098,28,36,13,5,2
fixed_90,residual_020,0.5,4590,3.084345106063223,0.992892159883471,0.5916144182629545,6117,510,11.994117647058824,28,47,23,5,3
fixed_90,residual_020,1.0,4590,3.0708913225051857,0.9794383763254337,0.5828702291694832,6157,510,12.072549019607843,25,45,22,6,1
season_180_630,legacy,0.0,4590,3.046649526196525,0.9985041010851347,0.5950808667847062,5928,510,11.623529411764705,25,39,12,7,2
season_180_630,legacy,0.5,4590,3.0334806838995068,0.9853352587881163,0.5868282017108319,6065,510,11.892156862745098,25,45,15,4,1
season_180_630,legacy,1.0,4590,3.0277360126031914,0.9795905874918013,0.582956294710155,6085,510,11.931372549019608,23,49,16,3,0
season_180_630,none,0.0,4590,3.045522332123614,0.9974828208521296,0.5946753846241014,5927,510,11.62156862745098,25,41,16,7,2
season_180_630,none,0.5,4590,3.0330873589229874,0.9850478476515033,0.5866779078772449,6071,510,11.903921568627451,25,45,14,4,1
season_180_630,none,1.0,4590,3.0276979106385484,0.9796583993670644,0.5829993142836678,6081,510,11.923529411764706,23,46,18,3,0
season_180_630,residual_005,0.0,4590,3.0453491295359334,0.9973195773903637,0.5945419718081886,5948,510,11.662745098039215,25,39,14,7,2
season_180_630,residual_005,0.5,4590,3.033044061048686,0.9850145089031164,0.5866450477125669,6078,510,11.91764705882353,25,44,15,5,1
season_180_630,residual_005,1.0,4590,3.0276518414974634,0.9796222893518937,0.5829749001820135,6087,510,11.935294117647059,23,47,18,3,0
